Geneid mock_infected1_S1 mock_infected2_S5 mock_infected9_S9 IFNb_treated12_S12 IFNb_treated2_S8 IFNb_treated4_S4
ENSG00000014257 114 100 105 211 128 85
ENSG00000014641 5054 4336 4346 3767 4806 3921
ENSG00000014824 1855 1689 1627 1853 2042 1507
ENSG00000014914 849 918 682 837 2048 1488
ENSG00000014919 923 871 783 643 1016 744
ENSG00000015133 59 57 42 29 43 27
ENSG00000015153 349 377 304 421 433 348
ENSG00000015171 2709 2722 2386 2328 2709 2116
ENSG00000015285 4 8 3 1 1 1
ENSG00000015413 2 0 1 0 0 2
ENSG00000015475 1468 1742 1579 1846 1576 1422
ENSG00000015479 15 21 6 14 19 27
ENSG00000015520 20 30 13 8 24 19
ENSG00000015532 1364 1751 1352 1136 1262 1064
ENSG00000015568 3 1 13 5 5 1
ENSG00000015592 0 0 0 0 1 0
ENSG00000015676 2951 3227 2740 2850 3518 3032
ENSG00000016082 125 108 104 110 119 95
ENSG00000016391 678 720 616 204 545 394
ENSG00000016402 3 5 1 4 7 5
ENSG00000016490 4 0 0 0 0 0
ENSG00000016602 0 0 0 0 0 0
ENSG00000016864 3149 2802 2659 2267 3353 2602
ENSG00000017260 6475 5563 5467 9595 8811 6559
ENSG00000017427 3 1 1 0 3 1
ENSG00000017483 61 50 59 64 31 37
ENSG00000017797 2822 2790 2516 2558 2993 2411
ENSG00000018189 612 617 546 434 766 581
ENSG00000018236 18 15 14 5 8 9
ENSG00000018280 3 4 2 0 4 1
ENSG00000018408 2507 2812 2243 3316 3128 2385
ENSG00000018510 1117 1105 1013 1251 1403 1057
ENSG00000018607 0 0 0 0 0 0
ENSG00000018610 535 538 474 476 607 495
ENSG00000018625 2 6 0 1 3 4
ENSG00000018699 631 599 525 683 819 616
ENSG00000018869 94 113 102 133 139 120
ENSG00000019102 0 0 0 0 0 0
ENSG00000019144 6223 7910 5988 6431 7322 6039
ENSG00000019169 1 0 0 0 0 0
ENSG00000019186 8 7 7 15 28 16
ENSG00000019485 367 428 338 331 473 420
ENSG00000019505 0 0 0 0 0 0
